date_of_birth,yearofbirth,monthofbirth,dayofbirth,number_of_people
1900_01_01,1900,1,1,8
1900_01_02,1900,1,2,1
1900_01_04,1900,1,4,1
1900_01_06,1900,1,6,1
1900_01_10,1900,1,10,1
1900_01_11,1900,1,11,1
1900_01_18,1900,1,18,1
1900_01_25,1900,1,25,1
1900_01_29,1900,1,29,1
1900_02_01,1900,2,1,1
1900_02_03,1900,2,3,1
1900_02_04,1900,2,4,1
1900_02_09,1900,2,9,1
1900_02_10,1900,2,10,1
1900_02_13,1900,2,13,1
1900_02_17,1900,2,17,2
1900_02_18,1900,2,18,2
1900_02_19,1900,2,19,1
1900_02_20,1900,2,20,1
1900_02_21,1900,2,21,1
1900_03_05,1900,3,5,1
1900_03_07,1900,3,7,1
1900_03_10,1900,3,10,1
1900_03_13,1900,3,13,1
1900_03_15,1900,3,15,1
1900_03_16,1900,3,16,1
1900_03_18,1900,3,18,1
1900_04_06,1900,4,6,1
1900_04_10,1900,4,10,1
1900_04_11,1900,4,11,1
1900_04_12,1900,4,12,1
1900_04_13,1900,4,13,1
1900_04_14,1900,4,14,1
1900_04_15,1900,4,15,1
1900_04_17,1900,4,17,1
1900_04_28,1900,4,28,1
1900_04_29,1900,4,29,1
1900_05_03,1900,5,3,1
1900_05_05,1900,5,5,1
1900_05_12,1900,5,12,2
1900_05_14,1900,5,14,1
1900_05_18,1900,5,18,1
1900_05_23,1900,5,23,1
1900_05_26,1900,5,26,1
1900_05_27,1900,5,27,1
1900_06_01,1900,6,1,1
1900_06_03,1900,6,3,3
1900_06_08,1900,6,8,2
1900_06_11,1900,6,11,2
1900_06_15,1900,6,15,1
1900_06_21,1900,6,21,1
1900_06_28,1900,6,28,1
1900_06_30,1900,6,30,1
1900_07_01,1900,7,1,1
1900_07_02,1900,7,2,1
1900_07_04,1900,7,4,1
1900_07_07,1900,7,7,1
1900_07_08,1900,7,8,1
1900_07_09,1900,7,9,1
1900_07_15,1900,7,15,1
1900_07_16,1900,7,16,3
1900_07_18,1900,7,18,1
1900_07_23,1900,7,23,1
1900_07_24,1900,7,24,1
1900_07_30,1900,7,30,1
1900_08_04,1900,8,4,1
1900_08_08,1900,8,8,1
1900_08_16,1900,8,16,1
1900_08_29,1900,8,29,1
1900_09_01,1900,9,1,1
1900_09_06,1900,9,6,2
1900_09_10,1900,9,10,1
1900_09_11,1900,9,11,1
1900_09_14,1900,9,14,1
1900_09_16,1900,9,16,2
1900_09_24,1900,9,24,2
1900_09_28,1900,9,28,1
1900_10_06,1900,10,6,1
1900_10_07,1900,10,7,1
1900_10_09,1900,10,9,1
1900_10_11,1900,10,11,1
1900_10_12,1900,10,12,1
1900_10_15,1900,10,15,1
1900_10_18,1900,10,18,1
1900_10_21,1900,10,21,2
1900_11_11,1900,11,11,1
1900_11_14,1900,11,14,2
1900_11_18,1900,11,18,1
1900_11_20,1900,11,20,2
1900_11_22,1900,11,22,2
1900_11_27,1900,11,27,2
1900_12_04,1900,12,4,1
1900_12_05,1900,12,5,1
1900_12_07,1900,12,7,1
1900_12_08,1900,12,8,2
1900_12_14,1900,12,14,1
1900_12_16,1900,12,16,1
1900_12_18,1900,12,18,1
1900_12_25,1900,12,25,1
1900_12_26,1900,12,26,2
1900_12_27,1900,12,27,1
1901_01_01,1901,1,1,8
1901_01_02,1901,1,2,1
1901_01_05,1901,1,5,2
1901_01_10,1901,1,10,2
1901_01_12,1901,1,12,1
1901_01_13,1901,1,13,1
1901_01_15,1901,1,15,1
1901_01_21,1901,1,21,1
1901_01_24,1901,1,24,1
1901_01_27,1901,1,27,1
1901_01_29,1901,1,29,1
1901_02_06,1901,2,6,3
1901_02_14,1901,2,14,1
1901_02_15,1901,2,15,2
1901_02_17,1901,2,17,1
1901_02_18,1901,2,18,1
1901_02_20,1901,2,20,1
1901_02_21,1901,2,21,1
1901_03_01,1901,3,1,3
1901_03_03,1901,3,3,1
1901_03_05,1901,3,5,1
1901_03_09,1901,3,9,1
1901_03_12,1901,3,12,1
1901_03_14,1901,3,14,2
1901_03_16,1901,3,16,1
1901_03_18,1901,3,18,1
1901_03_21,1901,3,21,1
1901_03_24,1901,3,24,1
1901_03_25,1901,3,25,1
1901_03_27,1901,3,27,1
1901_03_29,1901,3,29,1
1901_03_30,1901,3,30,1
1901_04_01,1901,4,1,2
1901_04_03,1901,4,3,2
1901_04_10,1901,4,10,1
1901_04_11,1901,4,11,1
1901_04_12,1901,4,12,1
1901_04_16,1901,4,16,2
1901_04_22,1901,4,22,1
1901_04_23,1901,4,23,1
1901_04_25,1901,4,25,1
1901_04_26,1901,4,26,1
1901_04_29,1901,4,29,2
1901_04_30,1901,4,30,1
1901_05_02,1901,5,2,1
1901_05_03,1901,5,3,1
1901_05_04,1901,5,4,1
1901_05_07,1901,5,7,1
1901_05_10,1901,5,10,1
1901_05_14,1901,5,14,1
1901_05_15,1901,5,15,1
1901_05_19,1901,5,19,1
1901_05_20,1901,5,20,1
1901_06_01,1901,6,1,1
1901_06_04,1901,6,4,1
1901_06_07,1901,6,7,1
1901_06_09,1901,6,9,2
1901_06_10,1901,6,10,3
1901_06_12,1901,6,12,3
1901_06_14,1901,6,14,1
1901_06_17,1901,6,17,1
1901_06_19,1901,6,19,1
1901_06_20,1901,6,20,1
1901_06_21,1901,6,21,1
1901_06_25,1901,6,25,1
1901_06_26,1901,6,26,1
1901_06_28,1901,6,28,1
1901_06_30,1901,6,30,1
1901_07_06,1901,7,6,1
1901_07_09,1901,7,9,1
1901_07_10,1901,7,10,1
1901_07_12,1901,7,12,1
1901_07_14,1901,7,14,1
1901_07_15,1901,7,15,1
1901_07_20,1901,7,20,1
1901_07_22,1901,7,22,1
1901_07_24,1901,7,24,1
1901_07_25,1901,7,25,1
1901_07_28,1901,7,28,1
1901_07_30,1901,7,30,1
1901_07_31,1901,7,31,1
1901_08_03,1901,8,3,1
1901_08_08,1901,8,8,1
1901_08_10,1901,8,10,2
1901_08_11,1901,8,11,1
1901_08_13,1901,8,13,1
1901_08_14,1901,8,14,1
1901_08_16,1901,8,16,1
1901_08_19,1901,8,19,1
1901_08_21,1901,8,21,1
1901_08_27,1901,8,27,1
1901_08_28,1901,8,28,1
1901_08_31,1901,8,31,1
1901_09_06,1901,9,6,1
1901_09_11,1901,9,11,1
1901_09_12,1901,9,12,1
1901_09_14,1901,9,14,1
1901_09_17,1901,9,17,1
1901_09_18,1901,9,18,2
1901_09_23,1901,9,23,1
1901_09_24,1901,9,24,1
1901_10_03,1901,10,3,2
1901_10_04,1901,10,4,1
1901_10_05,1901,10,5,1
1901_10_10,1901,10,10,2
1901_10_12,1901,10,12,1
1901_10_13,1901,10,13,1
1901_10_15,1901,10,15,2
1901_10_18,1901,10,18,1
1901_10_20,1901,10,20,1
1901_10_22,1901,10,22,1
1901_10_23,1901,10,23,2
1901_10_24,1901,10,24,1
1901_10_27,1901,10,27,1
1901_10_28,1901,10,28,1
1901_10_30,1901,10,30,1
1901_11_03,1901,11,3,1
1901_11_06,1901,11,6,1
1901_11_11,1901,11,11,3
1901_11_14,1901,11,14,1
1901_11_15,1901,11,15,2
1901_11_16,1901,11,16,1
1901_11_18,1901,11,18,1
1901_11_19,1901,11,19,1
1901_11_23,1901,11,23,1
1901_11_28,1901,11,28,1
1901_12_01,1901,12,1,2
1901_12_02,1901,12,2,1
1901_12_07,1901,12,7,1
1901_12_08,1901,12,8,1
1901_12_12,1901,12,12,1
1901_12_13,1901,12,13,1
1901_12_15,1901,12,15,2
1901_12_17,1901,12,17,1
1901_12_18,1901,12,18,1
1901_12_20,1901,12,20,2
1901_12_24,1901,12,24,1
1901_12_25,1901,12,25,1
1901_12_30,1901,12,30,1
1902_01_01,1902,1,1,6
1902_01_03,1902,1,3,1
1902_01_04,1902,1,4,1
1902_01_06,1902,1,6,4
1902_01_09,1902,1,9,1
1902_01_12,1902,1,12,2
1902_01_13,1902,1,13,1
1902_01_15,1902,1,15,2
1902_01_17,1902,1,17,1
1902_01_21,1902,1,21,1
1902_01_24,1902,1,24,1
1902_01_29,1902,1,29,1
1902_01_30,1902,1,30,1
1902_01_31,1902,1,31,2
1902_02_11,1902,2,11,1
1902_02_15,1902,2,15,1
1902_02_17,1902,2,17,1
1902_02_18,1902,2,18,1
1902_02_20,1902,2,20,1
1902_02_23,1902,2,23,1
1902_02_25,1902,2,25,1
1902_02_26,1902,2,26,1
1902_03_01,1902,3,1,1
1902_03_03,1902,3,3,1
1902_03_05,1902,3,5,1
1902_03_08,1902,3,8,1
1902_03_14,1902,3,14,1
1902_03_15,1902,3,15,1
1902_03_22,1902,3,22,2
1902_03_25,1902,3,25,1
1902_04_02,1902,4,2,2
1902_04_04,1902,4,4,1
1902_04_07,1902,4,7,2
